username,userid,profile_location,created_at,text,retweet_count,source,coordinates
B2B Kent,2795835840,Kent,2023-01-25 20:00:51,"Based in Canterbury or East Kent ? Looking for low cost office space? Join the Fruitworks  co-working, hot desking… https://t.co/aA7Sa9TblT",0,The Social Jukebox,
City of Kent,62566884,"Kent, Washington USA",2023-01-25 19:58:06,"In 2022, our Parks department held over a hundred community events! We maintained full class schedules and fun prog… https://t.co/jgcqTNvvou",0,Sprout Social,
CR Arts,3294015425,Kent,2023-01-25 17:23:23,"Join our co-working, hot desking community, In Canterbury and  in Mid Kent.  Is co-working right for you ? Read our… https://t.co/tzS3N7hTmY",0,The Social Jukebox,
Kent Training & Apprenticeships,791212458,Kent,2023-01-25 16:01:06,Do you live in Maidstone and are looking for work? Join this community store in Detling who will train you to work… https://t.co/b49ae76zUH,0,Hootsuite Inc.,
CMHA Lambton Kent,1268907817022390276,Lambton Kent,2023-01-25 15:06:10,"CMHAs across Ontario are calling on the province for a substantial, immediate and ongoing 
base funding increase fo… https://t.co/ck0uTAslU9",2,Buffer,
CMHA Lambton Kent,1268907817022390276,Lambton Kent,2023-01-25 14:40:11,Come talk to Lisa about why #MentalHealthMatters at @StClairCollege. Learn about mental health supports within the… https://t.co/KysLwu9xuC,1,Twitter for iPhone,
🇬🇧 Remoaner Resistance South East,466713235,Kent,2023-01-25 12:13:38,"@Yorgo74270232 @Bertie89400216 @stevec121 @reformparty_uk @TiceRichard Bill Gates has none, but he employs people w… https://t.co/wxClwjE86O",0,Twitter Web App,
Olwen Cockell,20510477,Kent,2023-01-25 11:08:34,Long waits on remand. What that often means is that when they do finally get to court they are released on time ser… https://t.co/H4bHKOfIKk,1,Twitter for iPhone,
B2B Kent,2795835840,Kent,2023-01-25 09:30:43,"Coming soon a new co working and community office space in Tenterden 

 The Trading Post opens March 2023 

Read ab… https://t.co/nkFUL73UEx",1,Twitter for iPhone,
Tonbridge and Malling Borough Council,1930386812,Kent,2023-01-25 09:00:26,"Pop into the Town Council offices today between 4pm and 6pm to discuss any community safety issues in your area, in… https://t.co/TbYX5hKcAW",1,Orlo,
Pabü el Diabü,3075902509,"Auburn, WA",2023-01-25 08:28:24,"I wish I could code more, but any time I try again I feel like a failure sitting in front of everyone pretending to… https://t.co/dd5Zwt7YF8",0,Twitter for Android,
South King County Fire Dispatches,1390435821212213248,King County WA,2023-01-25 03:38:24,"🚑
DISPATCH: Medical Aid - Basic Life Support @ ETHOS COMMUNITY APTS #C-103, 2200 W MEEKER ST #C-103, KENT.

Respond… https://t.co/RqHnxENxm0",0,SKCDispatch,"{'type': 'Point', 'coordinates': [-122.2270272, 47.3826903]}"
Suzanne M. Johnson,973253939448528896,"Auburn, WA",2023-01-24 21:49:47,"Thank you Rep. Chris Stearns of the 47th district for your time today with GRC trustees!
Community Colleges provide… https://t.co/28eUvqVsBw",2,Twitter for iPhone,
Tyler Foster #AbortiononDemandandWithoutApology,15504287,"Auburn, WA",2023-01-24 19:56:10,@phosphor_glow Suddenly very curious as to whether Dave has ever accused the trans community of using transphobia a… https://t.co/fPt8fho242,0,Twitter for Android,
City of Kent,62566884,"Kent, Washington USA",2023-01-24 18:48:06,"Last year, the Kent City Council passed four new city ordinances aimed at improving public safety and quality of li… https://t.co/n476kaDjGx",0,Sprout Social,
Twedders,2252398977,Kent,2023-01-24 16:55:15,"@UTDTrey Stop, you have to Win FA cup or league to even get a shot at community shield, youre just making yourself look silly.",0,Twitter for Android,
Tom Swift,68241868,Kent,2023-01-24 16:51:13,@trinitytheatre So sad to hear. Shame the local community don’t support anymore. 10 years ago local amateur compani… https://t.co/4SiP8oc4qG,0,Twitter for iPhone,
